ed  Description  ,Year 1 2021  ,Year 2 2022  ,Year 3 2023  ,Year 4 2024  ,Year 5 2025  ,Year 6 2026  ,Year 7 2027  ,Year 8 2028  ,Year 9 2029  ,Year 10 2030  
,,,,,,,,,
Misc Site Improvements  
"Access Control, Gate Enterphone Panel  ",0  ,0  ,0  ,0  ,0  ,"5,824  ",0  ,0  ,0  ,0  
"Access Control, Gate Operator, Barrier  ",0  ,"36,036  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence Gates, Alum Picket-Pool Deck  ",0  ,0  ,"7,292  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence, Alum Picket-Pool Deck West Side  ",0  ,0  ,0  ,"18,169  ",0  ,0  ,0  ,0  ,0  ,0  
"Fence, Vinyl,  6' Slat-Pool Deck East Side  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"7,031  ",0  ,0  
"Fence, Vinyl,  4' Picket-Beach Property Line  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"7,601  ",0  
Light Bollard-Pool Deck  ,0  ,"5,573  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Light Bollard-Parking Lot  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Light Post & Fixture-Parking Lot  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Pool Deck Pavers including Coping  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Equipment, Heat Pump, Geo-Thermal  ","41,700  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Equipment, Well Pump, Geo-Thermal  ",0  ,0  ,"3,224  ",0  ,0  ,0  ,0  ,0  ,0  ,"3,965  "
"Pool Finish, Tile Trim  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"14,209  ",0  ,0  
"Pool Finish, Exposed Aggregate  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"21,215  ",0  ,0  
"Retention Pond, Regrading & Sod  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"11,315  ",0  ,0  
Signage Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"2,740  "
"Sports Court Fencing, VC Chain Link, 10'  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Sports Court Resurfacing, Asphalt  ",0  ,0  ,0  ,0  ,0  ,"6,085  ",0  ,0  ,0  ,0  
Misc Site Improvements Total  ,"41,700  ","41,609  ","10,516  ","18,169  ",0  ,"11,909  ",0  ,"53,770  ","7,601  ","6,705  "
,,,,,,,,,,
"Furniture, Fixtures & Equipment  "
Computer Workstation  ,"1,014  ",0  ,0  ,0  ,"1,141  ",0  ,0  ,0  ,"1,285  ",0  
"Fitness, Dumbell Set  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fitness, Cardio, Recumbent Bike  ",0  ,0  ,0  ,0  ,0  ,0  ,"3,994  ",0  ,0  ,0  
"Fitness, Cardio, Eliptical  ",0  ,0  ,0  ,0  ,0  ,"2,761  ",0  ,0  ,0  ,0  
"Fitness, Cardio, Stationary Bike  ",0  ,0  ,0  ,0  ,0  ,0  ,"3,826  ",0  ,0  ,0  
"Fitness, Cardio, Treadmill  ",0  ,0  ,0  ,0  ,0  ,0  ,"5,155  ",0  ,0  ,0  
"Fitness, Cardio, Treadmill  ",0  ,0  ,0  ,0  ,0  ,"2,826  ",0  ,0  ,0  ,0  
"Fitness, Weight Machine, 3 Station  ",0  ,"5,956  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Furnishings/Decorating Allowance-Bldg 1 Lobby/Cor  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Furnishings/Decorating Allowance-Bldg 2 Lobby/Cor  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Furniture, Outdoor Re-Strap Allowance-Pool & Sun Deck  ","3,969  ",0  ,"4,211  ",0  ,"4,467  ",0  ,"4,739  ",0  ,"5,028  ",0  
"Furniture, Outdoor-Pool Deck  ",0  ,"6,541  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"8,285  "
"Furniture, Fixtures & Equipment Total  ","4,983  ","12,497  ","4,211  ",0  ,"5,608  ","5,587  ","17,714  ",0  ,"6,313  ","8,285  "
Grand Total  ,"196,867  ","136,641  ","276,329  ","80,272  ","886,092  ","134,130  ","164,747  ","704,413  ","115,661  ","1,990,480  "
