ed  Description  ,Year 11 2031  ,Year 12 2032  ,Year 13 2033  ,Year 14 2034  ,Year 15 2035  ,Year 16 2036  ,Year 17 2037  ,Year 18 2038  ,Year 19 2039  ,Year 20 2040  
,,,,,,,,,,
Misc Site Improvements  
"Access Control, Gate Enterphone Panel  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"8,304  ",0  ,0  
"Access Control, Gate Operator, Barrier  ",0  ,0  ,0  ,"51,378  ",0  ,0  ,0  ,0  ,0  ,0  
"Fence Gates, Alum Picket-Pool Deck  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"11,360  ",0  ,0  
"Fence, Alum Picket-Pool Deck West Side  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence, Vinyl,  6' Slat-Pool Deck East Side  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence, Vinyl,  4' Picket-Beach Property Line  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Light Bollard-Pool Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"9,488  "
Light Bollard-Parking Lot  ,0  ,0  ,0  ,0  ,0  ,"4,817  ",0  ,0  ,0  ,0  
Light Post & Fixture-Parking Lot  ,0  ,0  ,0  ,0  ,0  ,"6,543  ",0  ,0  ,0  ,0  
Pool Deck Pavers including Coping  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Equipment, Heat Pump, Geo-Thermal  ",0  ,0  ,"59,454  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Equipment, Well Pump, Geo-Thermal  ",0  ,0  ,0  ,0  ,0  ,0  ,"4,877  ",0  ,0  ,0  
"Pool Finish, Tile Trim  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Finish, Exposed Aggregate  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Retention Pond, Regrading & Sod  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Signage Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Sports Court Fencing, VC Chain Link, 10'  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"16,555  "
"Sports Court Resurfacing, Asphalt  ",0  ,0  ,"7,484  ",0  ,0  ,0  ,0  ,0  ,0  ,"9,204  "
Misc Site Improvements Total  ,0  ,0  ,"66,938  ","51,378  ",0  ,"11,360  ","4,877  ","19,664  ",0  ,"35,247  "
,,,,,,,,,,
"Furniture, Fixtures & Equipment  "
Computer Workstation  ,0  ,0  ,"1,446  ",0  ,0  ,0  ,"1,627  ",0  ,0  ,0  
"Fitness, Dumbell Set  ",0  ,0  ,0  ,0  ,"2,573  ",0  ,0  ,0  ,0  ,0  
"Fitness, Cardio, Recumbent Bike  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"5,695  ",0  
"Fitness, Cardio, Eliptical  ",0  ,0  ,0  ,0  ,0  ,"3,711  ",0  ,0  ,0  ,0  
"Fitness, Cardio, Stationary Bike  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"5,455  ",0  
"Fitness, Cardio, Treadmill  ",0  ,0  ,0  ,0  ,0  ,0  ,"6,928  ",0  ,0  ,0  
"Fitness, Cardio, Treadmill  ",0  ,0  ,"3,476  ",0  ,0  ,0  ,0  ,0  ,0  ,"4,275  "
"Fitness, Weight Machine, 3 Station  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Furnishings/Decorating Allowance-Bldg 1 Lobby/Cor  ,0  ,"14,119  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Furnishings/Decorating Allowance-Bldg 2 Lobby/Cor  ,0  ,"12,597  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Furniture, Outdoor Re-Strap Allowance-Pool & Sun Deck  ","5,334  ",0  ,"5,659  ",0  ,"6,003  ",0  ,"6,369  ",0  ,"6,757  ",0  
"Furniture, Outdoor-Pool Deck  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"10,496  ",0  ,0  
"Furniture, Fixtures & Equipment Total  ","5,334  ","26,716  ","10,581  ",0  ,"8,576  ","3,711  ","14,924  ","10,496  ","17,907  ","4,275  "

Grand Total  ,"49,549  ","565,612  ","204,695  ","71,410  ","350,787  ","49,786  ","114,982  ","72,452  ","594,181  ","510,107  "
