ed  Description  ,Year 21 2041  ,Year 22 2042  ,Year 23 2043  ,Year 24 2044  ,Year 25 2045  ,Year 26 2046  ,Year 27 2047  ,Year 28 2048  ,Year 29 2049  ,Year 30 2050  
,,,,,,,,,,
Misc Site Improvements  
"Access Control, Gate Enterphone Panel  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"11,839  "
"Access Control, Gate Operator, Barrier  ",0  ,0  ,0  ,0  ,0  ,"73,253  ",0  ,0  ,0  ,0  
"Fence Gates, Alum Picket-Pool Deck  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence, Alum Picket-Pool Deck West Side  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence, Vinyl,  6' Slat-Pool Deck East Side  ",0  ,0  ,"10,954  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fence, Vinyl,  4' Picket-Beach Property Line  ",0  ,0  ,0  ,"11,842  ",0  ,0  ,0  ,0  ,0  ,0  
Light Bollard-Pool Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Light Bollard-Parking Lot  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Light Post & Fixture-Parking Lot  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Pool Deck Pavers including Coping  ,0  ,0  ,"41,633  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Equipment, Heat Pump, Geo-Thermal  ",0  ,0  ,0  ,0  ,"84,768  ",0  ,0  ,0  ,0  ,0  
"Pool Equipment, Well Pump, Geo-Thermal  ",0  ,0  ,0  ,"5,998  ",0  ,0  ,0  ,0  ,0  ,0  
"Pool Finish, Tile Trim  ",0  ,0  ,"22,137  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Pool Finish, Exposed Aggregate  ",0  ,0  ,"33,053  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Retention Pond, Regrading & Sod  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"20,436  ",0  ,0  
Signage Allowance  ,0  ,"3,907  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Sports Court Fencing, VC Chain Link, 10'  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Sports Court Resurfacing, Asphalt  ",0  ,0  ,0  ,0  ,0  ,0  ,"11,320  ",0  ,0  ,0  
Misc Site Improvements Total  ,0  ,"3,907  ","107,777  ","17,840  ","84,768  ","73,253  ","11,320  ","20,436  ",0  ,"11,839  "
,,,,,,,,,,
"Furniture, Fixtures & Equipment  "
Computer Workstation  ,"1,831  ",0  ,0  ,0  ,"2,061  ",0  ,0  ,0  ,"2,320  ",0  
"Fitness, Dumbell Set  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fitness, Cardio, Recumbent Bike  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fitness, Cardio, Eliptical  ",0  ,0  ,0  ,0  ,0  ,"4,987  ",0  ,0  ,0  ,0  
"Fitness, Cardio, Stationary Bike  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fitness, Cardio, Treadmill  ",0  ,0  ,0  ,0  ,0  ,0  ,"9,310  ",0  ,0  ,0  
"Fitness, Cardio, Treadmill  ",0  ,0  ,0  ,0  ,0  ,0  ,"5,258  ",0  ,0  ,0  
"Fitness, Weight Machine, 3 Station  ",0  ,"10,758  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Furnishings/Decorating Allowance-Bldg 1 Lobby/Cor  ,0  ,0  ,0  ,0  ,0  ,"21,357  ",0  ,0  ,0  ,0  
Furnishings/Decorating Allowance-Bldg 2 Lobby/Cor  ,0  ,0  ,0  ,0  ,0  ,"19,053  ",0  ,0  ,0  ,0  
"Furniture, Outdoor Re-Strap Allowance-Pool & Sun Deck  ","7,168  ",0  ,"7,605  ",0  ,"8,068  ",0  ,"8,560  ",0  ,"9,081  ",0  
"Furniture, Outdoor-Pool Deck  ",0  ,0  ,0  ,0  ,0  ,"13,295  ",0  ,0  ,0  ,0  
"Furniture, Fixtures & Equipment Total  ","8,999  ","10,758  ","7,605  ",0  ,"10,129  ","58,692  ","23,128  ",0  ,"11,401  ",0  
Grand Total  ,"224,026  ","1,426,329  ","259,549  ","38,308  ","308,404  ","814,029  ","231,921  ","86,204  ","392,467  ","479,564  "
