ed  Description  ,Year 1 2021  ,Year 2 2022  ,Year 3 2023  ,Year 4 2024  ,Year 5 2025  ,Year 6 2026  ,Year 7 2027  ,Year 8 2028  ,Year 9 2029  ,Year 10 2030  
General Reserve Fund  ,,,,,,,,,"1,219,798 "
Beginning Year Balance  ,"400,000  ","572,974  ","821,569  ","945,560  ","1,285,330  ","825,294  ","1,138,384  ",,,Highest  
,,,,,,,,"1,443,684  ",,"1,612,417  "
Annual Reserve Contribution  ,,"375,093  ","386,346  ","397,936  ","409,874  ","422,170  ","434,835  ","447,880  ","461,316  ","475,150 "
"364,168  "

Planned Special Assessments  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Reserve Funds Available  ,"764,168  ","948,067  ","1,207,915  ","1,343,496  ","1,695,204  ","1,247,464  ","1,573,219  ","1,891,564  ","1,681,114  ","2,087,567  "
Expenditures  
Roofs  ,"6,200  ",0  ,"42,872  ","6,775  ",0  ,0  ,"7,403  ",0  ,0  ,"1,549,121  "
Painting/Waterproofing  ,"25,300  ","25,149  ","37,815  ",0  ,"374,005  ",0  ,"30,210  ","6,113  ","32,049  ","53,943  "
Paving  ,0  ,"4,038  ",0  ,0  ,0  ,"4,544  ",0  ,0  ,"51,561  ","5,115  "
Elevators  ,0  ,0  ,0  ,0  ,0  ,0  ,"98,352  ","520,864  ",0  ,"133,479  "
Mechanical & Electrical  ,"10,532  ","53,348  ","8,780  ","55,328  ","506,479  ","86,884  ","4,522  ",0  ,"18,137  ","139,596  "
Misc Building Components  ,"108,152  ",0  ,"172,135  ",0  ,0  ,"25,206  ","6,546  ","123,666  ",0  ,"94,236  "
Misc Site Improvements  ,"41,700  ","41,609  ","10,516  ","18,169  ",0  ,"11,909  ",0  ,"53,770  ","7,601  ","6,705  "
"Furniture, Fixtures & Equipment  ","4,983  ","12,497  ","4,211  ",0  ,"5,608  ","5,587  ","17,714  ",0  ,"6,313  ","8,285  "
