ed  Description  ,Year 21 2041  ,Year 22 2042  ,Year 23 2043  ,Year 24 2044  ,Year 25 2045  ,Year 26 2046  ,Year 27 2047  ,Year 28 2048  ,Year 29 2049  ,Year 30 2050  
,,,,,,,,,,
Elevators  ,,,,
Elevator Cab Refurbishment Allowance-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"61,742  "
Elevator Cab Refurbishment Allowance-Bldg 2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"30,871  "
Elevator Door Operator Equipment-Bldg 1  ,"99,177  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevator Door Operator Equipment-Bldg 2  ,"49,589  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevator Capital Repair/Deferred Maint Allowance  ,0  ,0  ,0  ,0  ,"128,066  ",0  ,0  ,0  ,0  ,0  
"Elevator Modernization Allowance, 9 Stop/2500#-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Elevator Modernization Allowance, 9 Stop/2500#-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevators Total  ,"148,766  ",0  ,0  ,0  ,"128,066  ",0  ,0  ,0  ,0  ,"92,613  "
,,,,,,,,,,
Mechanical & Electrical  
"A/C Split System,  2.5 Ton-Fitness Center  ",0  ,0  ,0  ,0  ,0  ,"9,830  ",0  ,0  ,0  ,0  
"A/C Split System,  3.5 Ton-Bldg 1 Lobby/Office  ",0  ,0  ,0  ,"11,711  ",0  ,0  ,0  ,0  ,0  ,0  
"A/C Split System, Mini-Bldg 2 Elevator Equipment Rm  ",0  ,0  ,"7,929  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"A/C Split System, Mini-Bldg 2 Lobby  ",0  ,0  ,"7,929  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"A/C Wall Unit, 1 Ton-Bldg 1 Elevator Machine Rm  ",0  ,0  ,0  ,0  ,0  ,"5,343  ",0  ,0  ,0  ,0  
Domestic Water Pump System Control Panel-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Domestic Water Pump System Control Panel-Bldg 2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 1  ",0  ,0  ,0  ,0  ,"5,352  ",0  ,0  ,0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 1  ",0  ,0  ,0  ,0  ,"5,352  ",0  ,0  ,0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 2  ",0  ,0  ,0  ,0  ,"5,352  ",0  ,0  ,0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 2  ",0  ,0  ,0  ,0  ,"5,352  ",0  ,0  ,0  ,0  ,0  
Electrical Capital Repair/Replacement Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Alarm System-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Alarm System-Bldg 2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Jockey Pump-Bldg 1  ,0  ,0  ,"7,256  ",0  ,0  ,0  ,0  ,0  ,0  ,"8,924  "
Fire Jockey Pump-Bldg 2  ,"6,840  ",0  ,0  ,0  ,0  ,0  ,0  ,"8,412  ",0  ,0  
"Fire Pump, 50 Hp Electric-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fire Pump, 60 Hp Electric-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Sprinkler Lines-Bldg 1 Garage  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Sprinkler Lines-Bldg 2 Garage  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Generator, Diesel, 100 KW-Bldg 2 Garage  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Generator, Diesel, 250 KW w/ATS-Bldg 1 Garage  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Lighting-Common Walkways (Mat $ only)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
