ed  Description  ,Year 21 2041  ,Year 22 2042  ,Year 23 2043  ,Year 24 2044  ,Year 25 2045  ,Year 26 2046  ,Year 27 2047  ,Year 28 2048  ,Year 29 2049  ,Year 30 2050  
,,,,,,,,,,
Mechanical & Electrical (Continued)  
Lighting-Balconies (Mat $ only)  ,0  ,0  ,0  ,0  ,0  ,0  ,"6,944  ",0  ,0  ,0  
Lighting-Stairwells (Mat $ only)  ,0  ,0  ,0  ,"8,757  ",0  ,0  ,0  ,0  ,0  ,0  
Plumbing Repiping Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Mechanical & Electrical Total  ,"6,840  ",0  ,"23,114  ","20,468  ","21,408  ","15,173  ","6,944  ","8,412  ",0  ,"8,924  "
,,,,,,,,,,
Misc Building Components  
"Access Control, Enterphone Panel-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"10,609  "
"Access Control, Enterphone Panel-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"10,609  "
"Access Control, FOB Reader-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"6,056  "
"Access Control, FOB Reader-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"6,056  "
Door Allowance-Bldg's 1 & 2 Service/Support Areas  ,"13,726  ",0  ,0  ,0  ,0  ,"15,913  ",0  ,0  ,0  ,0  
Doors-Bldg's 1 & 2 Lobby Entrance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 1 Balconies  ",0  ,"118,761  ",0  ,0  ,0  ,0  ,0  ,0  ,"146,061  ",0  
"Finish, Concrete Deck Coating-Bldg 1 Corridors 2-8  ",0  ,0  ,"33,315  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 2 Balconies  ",0  ,"68,295  ",0  ,0  ,0  ,0  ,0  ,0  ,"83,994  ",0  
"Finish, Concrete Deck Coating-Bldg 2 Corridors 2-8  ",0  ,0  ,"19,441  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Pavers-Bldg's 1 & 2 Main Entry & Porch Area  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 1 Lobby & Corridor 1st Floor  ",0  ,0  ,0  ,0  ,0  ,0  ,"48,817  ",0  ,0  ,0  
"Finish, Tile Floor-Bldg 1 Office  ",0  ,"3,769  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 2 Lobby & Corridor 1st Floor  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"32,542  ",0  ,0  
"Finish, Vinyl Comp Tile Floor-Fitness Center  ",0  ,"10,198  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Balconies  ",0  ,"219,500  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Corridors  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Front Patio & Stairs  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Balconies  ",0  ,"143,187  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Corridors  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Front Stairs  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Sun Deck (prorate $/35rl)  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"55,992  "
Renovation Allowance-Fitness Center  ,0  ,"132,081  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Waterproof Primer/Base Coating-Sun Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Waterproof Top Coating-Sun Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"170,201  "
Window Replacement  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Window Replacement (2012/2013/2015)  ,0  ,"651,624  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Misc Building Components Total  ,"13,726  ","1,347,415  ","52,756  ",0  ,0  ,"15,913  ","48,817  ","32,542  ","230,055  ","259,523  "
