ed  Description  ,Year 1 2021  ,Year 2 2022  ,Year 3 2023  ,Year 4 2024  ,Year 5 2025  ,Year 6 2026  ,Year 7 2027  ,Year 8 2028  ,Year 9 2029  ,Year 10 2030  
,,,,,,,,,,
Mechanical & Electrical (Continued)  
Lighting-Balconies (Mat $ only)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Lighting-Stairwells (Mat $ only)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"5,789  "
Plumbing Repiping Allowance  ,0  ,0  ,0  ,0  ,"506,479  ",0  ,0  ,0  ,0  ,0  
Mechanical & Electrical Total  ,"10,532  ","53,348  ","8,780  ","55,328  ","506,479  ","86,884  ","4,522  ",0  ,"18,137  ","139,596  "
,,,,,,,,,,
Misc Building Components  
"Access Control, Enterphone Panel-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,"5,219  ",0  ,0  ,0  ,0  
"Access Control, Enterphone Panel-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,"5,219  ",0  ,0  ,0  ,0  
"Access Control, FOB Reader-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,"2,979  ",0  ,0  ,0  ,0  
"Access Control, FOB Reader-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,"2,979  ",0  ,0  ,0  ,0  
Door Allowance-Bldg's 1 & 2 Service/Support Areas  ,"7,600  ",0  ,0  ,0  ,0  ,"8,810  ",0  ,0  ,0  ,0  
Doors-Bldg's 1 & 2 Lobby Entrance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 1 Balconies  ","63,840  ",0  ,0  ,0  ,0  ,0  ,0  ,"78,515  ",0  ,0  
"Finish, Concrete Deck Coating-Bldg 1 Corridors 2-8  ",0  ,0  ,"18,446  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 2 Balconies  ","36,712  ",0  ,0  ,0  ,0  ,0  ,0  ,"45,151  ",0  ,0  
"Finish, Concrete Deck Coating-Bldg 2 Corridors 2-8  ",0  ,0  ,"10,764  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Pavers-Bldg's 1 & 2 Main Entry & Porch Area  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 1 Lobby & Corridor 1st Floor  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 1 Office  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 2 Lobby & Corridor 1st Floor  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Vinyl Comp Tile Floor-Fitness Center  ",0  ,0  ,0  ,0  ,0  ,0  ,"6,546  ",0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Balconies  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Corridors  ",0  ,0  ,"21,441  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Front Patio & Stairs  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Balconies  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Corridors  ",0  ,0  ,"11,770  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Front Stairs  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Sun Deck (prorate $/35rl)  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Renovation Allowance-Fitness Center  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Waterproof Primer/Base Coating-Sun Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Waterproof Top Coating-Sun Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"94,236  "
Window Replacement  ,0  ,0  ,"109,714  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
Window Replacement (2012/2013/2015)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Misc Building Components Total  ,"108,152  ",0  ,"172,135  ",0  ,0  ,"25,206  ","6,546  ","123,666  ",0  ,"94,236  "
